interaction_id,user_id,product_id,event_type,device,timestamp,session_id
INT_004817,U0365,16,view,mobile_app,2025-12-22 14:26:08,SESS_98371
INT_004732,U0447,5,add_to_cart,desktop_browser,2025-12-22 14:31:20,SESS_84701
INT_004930,U0012,15,add_to_cart,desktop_browser,2025-12-22 14:33:33,SESS_32492
INT_003298,U0375,3,view,mobile_app,2025-12-22 14:35:38,SESS_45555
INT_001322,U0308,6,click,mobile_app,2025-12-22 14:38:12,SESS_48930
INT_009424,U0428,17,view,desktop_browser,2025-12-22 14:49:22,SESS_15221
INT_006002,U0028,17,view,mobile_app,2025-12-22 14:51:23,SESS_90641
INT_009668,U0300,7,view,mobile_app,2025-12-22 14:54:10,SESS_19209
INT_006731,U0295,15,view,mobile_app,2025-12-22 14:57:08,SESS_63055
INT_001227,U0320,6,view,mobile_app,2025-12-22 14:58:55,SESS_74960
INT_007031,U0223,4,view,mobile_app,2025-12-22 14:59:51,SESS_92535
INT_000249,U0072,12,view,desktop_browser,2025-12-22 15:00:47,SESS_30966
INT_009874,U0337,18,view,mobile_app,2025-12-22 15:04:31,SESS_77439
INT_005059,U0291,17,add_to_cart,desktop_browser,2025-12-22 15:04:36,SESS_85831
INT_000760,U0232,17,view,mobile_app,2025-12-22 15:05:29,SESS_59600
INT_008775,U0381,6,view,desktop_browser,2025-12-22 15:07:14,SESS_23231
INT_001004,U0169,4,click,mobile_app,2025-12-22 15:07:38,SESS_60548
INT_002382,U0370,18,click,mobile_app,2025-12-22 15:09:19,SESS_63646
INT_004897,U0412,1,click,desktop_browser,2025-12-22 15:20:58,SESS_37318
INT_000391,U0141,18,view,desktop_browser,2025-12-22 15:28:50,SESS_60520
INT_008784,U0294,20,view,mobile_app,2025-12-22 15:28:52,SESS_57021
INT_002550,U0153,13,view,desktop_browser,2025-12-22 15:29:12,SESS_88235
INT_004209,U0451,16,view,desktop_browser,2025-12-22 15:30:58,SESS_48031
INT_006600,U0209,4,view,mobile_app,2025-12-22 15:36:05,SESS_30214
INT_008288,U0052,15,view,desktop_browser,2025-12-22 15:48:48,SESS_77322
INT_003074,U0335,5,click,mobile_app,2025-12-22 15:49:23,SESS_39497
INT_001575,U0279,1,add_to_cart,mobile_app,2025-12-22 15:52:06,SESS_57010
INT_001115,U0465,14,add_to_cart,mobile_app,2025-12-22 15:56:30,SESS_67707
INT_009873,U0498,7,click,mobile_app,2025-12-22 15:58:56,SESS_88058
INT_007077,U0005,12,add_to_cart,desktop_browser,2025-12-22 15:59:18,SESS_33639
INT_007736,U0463,3,add_to_cart,mobile_app,2025-12-22 15:59:42,SESS_89701
INT_006131,U0121,10,click,mobile_app,2025-12-22 16:00:24,SESS_86660
INT_003015,U0481,1,add_to_cart,mobile_app,2025-12-22 16:01:27,SESS_23081
INT_001601,U0267,6,view,mobile_app,2025-12-22 16:02:19,SESS_30794
INT_000455,U0446,4,view,mobile_app,2025-12-22 16:16:48,SESS_73415
INT_003897,U0112,20,click,mobile_app,2025-12-22 16:17:31,SESS_17298
INT_000396,U0319,12,click,desktop_browser,2025-12-22 16:23:06,SESS_15156
INT_001466,U0055,3,view,desktop_browser,2025-12-22 16:27:48,SESS_77233
INT_003433,U0082,4,click,desktop_browser,2025-12-22 16:28:26,SESS_50910
INT_001871,U0029,17,click,mobile_app,2025-12-22 16:29:15,SESS_42264
INT_000972,U0189,11,add_to_cart,mobile_app,2025-12-22 16:33:49,SESS_29669
INT_004194,U0494,14,view,desktop_browser,2025-12-22 16:34:19,SESS_77683
INT_009035,U0498,6,view,mobile_app,2025-12-22 16:36:52,SESS_73950
INT_009808,U0067,19,view,mobile_app,2025-12-22 16:43:46,SESS_58839
INT_007353,U0086,5,view,desktop_browser,2025-12-22 16:45:17,SESS_16851
INT_002386,U0399,8,view,mobile_app,2025-12-22 17:01:02,SESS_29741
INT_000123,U0259,7,view,mobile_app,2025-12-22 17:13:20,SESS_17010
INT_004676,U0001,4,click,desktop_browser,2025-12-22 17:14:30,SESS_80078
INT_003009,U0185,2,purchase,desktop_browser,2025-12-22 17:20:28,SESS_54674
INT_006745,U0303,6,view,mobile_app,2025-12-22 17:22:06,SESS_53079
INT_009981,U0173,6,view,mobile_app,2025-12-22 17:24:39,SESS_75191
INT_002768,U0263,3,add_to_cart,desktop_browser,2025-12-22 17:34:46,SESS_94433
INT_004409,U0440,14,view,desktop_browser,2025-12-22 17:38:14,SESS_79657
INT_009815,U0133,14,click,desktop_browser,2025-12-22 18:18:21,SESS_25443
INT_007422,U0089,3,add_to_cart,desktop_browser,2025-12-22 18:21:48,SESS_45941
INT_006258,U0172,8,view,desktop_browser,2025-12-22 18:22:04,SESS_46715
INT_002149,U0021,1,view,desktop_browser,2025-12-22 19:01:33,SESS_63119
INT_009098,U0484,11,click,mobile_app,2025-12-22 19:03:22,SESS_95886
INT_001195,U0398,11,click,desktop_browser,2025-12-22 19:07:27,SESS_28837
INT_005692,U0208,7,view,mobile_app,2025-12-22 19:18:46,SESS_16975
INT_003246,U0280,2,view,mobile_app,2025-12-22 19:25:18,SESS_45220
INT_001285,U0429,9,click,desktop_browser,2025-12-22 19:26:10,SESS_94867
INT_006388,U0371,16,click,mobile_app,2025-12-22 19:31:18,SESS_18134
INT_000687,U0146,18,view,mobile_app,2025-12-22 19:33:05,SESS_31032
INT_004106,U0492,7,view,mobile_app,2025-12-22 19:36:39,SESS_19992
INT_002815,U0389,3,click,mobile_app,2025-12-22 19:37:58,SESS_69292
INT_000315,U0304,15,view,desktop_browser,2025-12-22 19:40:02,SESS_76196
INT_005751,U0058,14,view,mobile_app,2025-12-22 19:42:03,SESS_85953
INT_000557,U0147,6,click,desktop_browser,2025-12-22 19:50:08,SESS_50172
INT_000384,U0318,9,view,mobile_app,2025-12-22 19:58:30,SESS_81662
INT_009020,U0235,9,view,mobile_app,2025-12-22 19:58:43,SESS_61268
INT_005771,U0477,14,view,mobile_app,2025-12-22 19:59:48,SESS_82007
INT_004236,U0231,19,view,desktop_browser,2025-12-22 20:00:50,SESS_34832
INT_003670,U0365,10,view,desktop_browser,2025-12-22 20:01:09,SESS_19524
INT_005368,U0135,15,add_to_cart,desktop_browser,2025-12-22 20:02:08,SESS_44925
INT_006619,U0396,19,click,mobile_app,2025-12-22 20:03:49,SESS_13092
INT_007388,U0142,9,click,desktop_browser,2025-12-22 20:05:10,SESS_91364
INT_005620,U0470,17,view,desktop_browser,2025-12-22 20:10:59,SESS_11790
INT_006842,U0153,7,view,mobile_app,2025-12-22 20:11:38,SESS_23386
INT_009297,U0500,8,add_to_cart,desktop_browser,2025-12-22 20:12:45,SESS_40343
INT_003734,U0431,20,view,mobile_app,2025-12-22 20:33:18,SESS_96158
INT_003092,U0198,14,view,mobile_app,2025-12-22 20:33:54,SESS_15337
INT_002524,U0368,5,click,mobile_app,2025-12-22 20:50:05,SESS_24503
INT_006730,U0270,5,add_to_cart,mobile_app,2025-12-22 20:50:08,SESS_44522
INT_004531,U0209,8,click,mobile_app,2025-12-22 20:50:13,SESS_22587
INT_000989,U0035,10,view,mobile_app,2025-12-22 20:56:44,SESS_35930
INT_007770,U0441,8,view,mobile_app,2025-12-22 21:00:02,SESS_45242
INT_006634,U0256,20,click,mobile_app,2025-12-22 21:04:51,SESS_79383
INT_006431,U0305,3,add_to_cart,mobile_app,2025-12-22 21:06:47,SESS_33372
INT_002006,U0483,9,view,mobile_app,2025-12-22 21:11:03,SESS_27172
INT_007383,U0043,1,view,mobile_app,2025-12-22 21:11:54,SESS_92008
INT_001909,U0258,13,click,mobile_app,2025-12-22 21:15:44,SESS_17986
INT_007684,U0341,18,view,desktop_browser,2025-12-22 21:17:04,SESS_92766
INT_008234,U0062,11,view,desktop_browser,2025-12-22 21:24:46,SESS_59702
INT_002778,U0466,11,view,desktop_browser,2025-12-22 21:26:03,SESS_78456
INT_004466,U0161,6,click,desktop_browser,2025-12-22 21:38:03,SESS_30583
INT_000302,U0021,5,view,desktop_browser,2025-12-22 21:45:01,SESS_45013
INT_008302,U0018,4,view,desktop_browser,2025-12-22 21:51:49,SESS_99350
INT_004835,U0237,14,view,mobile_app,2025-12-22 21:54:47,SESS_21767
INT_001813,U0394,12,view,desktop_browser,2025-12-22 22:03:19,SESS_97155
INT_009317,U0087,10,purchase,mobile_app,2025-12-22 22:06:34,SESS_80745
INT_002794,U0233,2,view,desktop_browser,2025-12-22 22:14:18,SESS_45124
INT_004558,U0445,13,click,mobile_app,2025-12-22 22:16:23,SESS_31182
INT_007344,U0271,5,purchase,desktop_browser,2025-12-22 22:20:11,SESS_22129
INT_003854,U0236,6,view,desktop_browser,2025-12-22 22:22:56,SESS_96806
INT_009443,U0114,4,view,mobile_app,2025-12-22 22:23:18,SESS_30641
INT_005216,U0126,12,view,desktop_browser,2025-12-22 22:24:13,SESS_14531
INT_008992,U0406,15,purchase,mobile_app,2025-12-22 22:29:19,SESS_78210
INT_009645,U0213,2,purchase,desktop_browser,2025-12-22 22:30:25,SESS_88749
INT_008842,U0102,8,view,desktop_browser,2025-12-22 22:31:47,SESS_33808
INT_003334,U0022,8,view,mobile_app,2025-12-22 22:33:49,SESS_89530
INT_009175,U0499,14,view,desktop_browser,2025-12-22 22:37:01,SESS_16160
INT_002893,U0032,9,click,desktop_browser,2025-12-22 22:38:52,SESS_91927
INT_006939,U0054,1,view,mobile_app,2025-12-22 22:39:21,SESS_80563
INT_002070,U0219,12,view,desktop_browser,2025-12-22 22:47:09,SESS_87526
INT_007439,U0352,3,click,desktop_browser,2025-12-22 22:47:55,SESS_12012
INT_004166,U0008,1,view,desktop_browser,2025-12-22 22:55:56,SESS_30648
INT_007985,U0181,20,view,desktop_browser,2025-12-22 23:00:04,SESS_28706
INT_001836,U0497,5,view,desktop_browser,2025-12-22 23:05:32,SESS_88792
INT_001618,U0146,16,add_to_cart,mobile_app,2025-12-22 23:17:58,SESS_28791
INT_007178,U0068,9,view,mobile_app,2025-12-22 23:23:49,SESS_26539
INT_003606,U0010,14,click,mobile_app,2025-12-22 23:29:21,SESS_89550
INT_005183,U0302,15,view,desktop_browser,2025-12-22 23:35:54,SESS_10972
INT_004432,U0112,12,view,mobile_app,2025-12-22 23:46:52,SESS_60886
INT_003702,U0361,17,view,mobile_app,2025-12-22 23:47:55,SESS_27236
INT_008060,U0054,16,view,desktop_browser,2025-12-22 23:48:12,SESS_65395
INT_007617,U0491,6,view,mobile_app,2025-12-22 23:56:50,SESS_68532
INT_001924,U0076,12,add_to_cart,desktop_browser,2025-12-22 23:57:27,SESS_74273
INT_001756,U0413,5,purchase,desktop_browser,2025-12-23 00:01:28,SESS_73071
INT_008398,U0429,2,purchase,mobile_app,2025-12-23 00:13:45,SESS_66066
INT_007801,U0276,15,view,mobile_app,2025-12-23 00:24:42,SESS_77976
INT_000448,U0155,15,view,desktop_browser,2025-12-23 00:27:21,SESS_93867
INT_004141,U0236,7,view,desktop_browser,2025-12-23 00:33:07,SESS_70190
INT_007932,U0178,18,click,mobile_app,2025-12-23 00:42:45,SESS_96176
INT_001356,U0429,3,view,desktop_browser,2025-12-23 00:43:11,SESS_53543
INT_003669,U0473,7,view,desktop_browser,2025-12-23 00:43:23,SESS_65293
INT_008408,U0051,4,view,mobile_app,2025-12-23 00:44:36,SESS_35984
INT_006655,U0117,7,click,desktop_browser,2025-12-23 00:50:55,SESS_67003
INT_006691,U0452,11,view,mobile_app,2025-12-23 00:56:31,SESS_60425
INT_006637,U0121,6,click,desktop_browser,2025-12-23 00:59:19,SESS_85638
INT_009585,U0171,1,view,desktop_browser,2025-12-23 01:04:17,SESS_86440
INT_001620,U0027,19,view,mobile_app,2025-12-23 01:10:18,SESS_41256
INT_001943,U0027,19,view,desktop_browser,2025-12-23 01:12:13,SESS_76975
INT_001242,U0369,9,view,mobile_app,2025-12-23 01:13:27,SESS_60260
INT_000400,U0167,16,view,desktop_browser,2025-12-23 01:13:54,SESS_62178
INT_004046,U0036,16,view,desktop_browser,2025-12-23 01:21:49,SESS_90306
INT_001202,U0378,13,view,desktop_browser,2025-12-23 01:22:42,SESS_71429
INT_009653,U0209,18,click,desktop_browser,2025-12-23 01:23:27,SESS_21381
INT_007835,U0110,9,view,mobile_app,2025-12-23 01:32:31,SESS_47570
INT_001106,U0052,5,view,mobile_app,2025-12-23 01:32:36,SESS_63986
INT_005603,U0294,15,view,desktop_browser,2025-12-23 01:34:08,SESS_32587
INT_004204,U0202,15,view,desktop_browser,2025-12-23 01:41:58,SESS_14495
INT_003168,U0264,8,view,mobile_app,2025-12-23 01:44:57,SESS_96205
INT_002156,U0038,6,view,mobile_app,2025-12-23 01:46:50,SESS_65516
INT_000306,U0451,4,view,mobile_app,2025-12-23 01:48:07,SESS_17056
INT_005913,U0019,19,view,desktop_browser,2025-12-23 01:54:06,SESS_79780
INT_001209,U0138,18,click,desktop_browser,2025-12-23 02:00:37,SESS_58341
INT_008039,U0273,8,view,mobile_app,2025-12-23 02:02:04,SESS_17268
INT_007978,U0470,3,view,mobile_app,2025-12-23 02:02:53,SESS_15461
INT_005505,U0190,14,click,mobile_app,2025-12-23 02:05:41,SESS_98332
INT_006394,U0053,4,click,mobile_app,2025-12-23 02:06:49,SESS_69280
INT_007642,U0480,7,click,desktop_browser,2025-12-23 02:07:34,SESS_81052
INT_008254,U0215,2,view,mobile_app,2025-12-23 02:08:39,SESS_64033
INT_001318,U0188,12,view,mobile_app,2025-12-23 02:09:50,SESS_46398
INT_001870,U0115,7,view,mobile_app,2025-12-23 02:14:19,SESS_45329
INT_005382,U0413,2,view,mobile_app,2025-12-23 02:16:26,SESS_96925
INT_008677,U0188,3,view,desktop_browser,2025-12-23 02:17:06,SESS_78739
INT_008435,U0407,9,add_to_cart,mobile_app,2025-12-23 02:26:59,SESS_95296
INT_004181,U0063,14,view,mobile_app,2025-12-23 02:34:29,SESS_39595
INT_001705,U0423,20,view,mobile_app,2025-12-23 02:34:59,SESS_62761
INT_002988,U0302,7,view,mobile_app,2025-12-23 02:38:34,SESS_32625
INT_003519,U0218,13,view,desktop_browser,2025-12-23 02:42:50,SESS_76240
INT_007897,U0128,17,click,mobile_app,2025-12-23 02:45:29,SESS_10283
INT_006510,U0446,8,view,mobile_app,2025-12-23 02:48:18,SESS_15977
INT_005728,U0215,20,click,desktop_browser,2025-12-23 02:49:50,SESS_23976
INT_008656,U0154,10,view,mobile_app,2025-12-23 02:53:47,SESS_96498
INT_003096,U0463,12,view,mobile_app,2025-12-23 02:56:37,SESS_37053
INT_000861,U0007,2,click,desktop_browser,2025-12-23 03:02:55,SESS_14498
INT_006654,U0480,11,view,mobile_app,2025-12-23 03:06:07,SESS_82626
INT_006927,U0134,14,click,desktop_browser,2025-12-23 03:09:28,SESS_36172
INT_004965,U0393,12,view,desktop_browser,2025-12-23 03:12:57,SESS_78633
INT_001056,U0018,4,view,mobile_app,2025-12-23 03:14:16,SESS_52187
INT_007201,U0355,6,view,mobile_app,2025-12-23 03:18:43,SESS_22011
INT_005885,U0071,19,view,mobile_app,2025-12-23 03:20:36,SESS_45174
INT_001332,U0383,2,purchase,mobile_app,2025-12-23 03:20:49,SESS_27667
INT_009122,U0487,2,view,mobile_app,2025-12-23 03:23:52,SESS_90507
INT_002804,U0415,8,view,mobile_app,2025-12-23 03:24:23,SESS_28593
INT_000910,U0444,16,view,mobile_app,2025-12-23 03:25:58,SESS_60289
INT_007477,U0481,6,click,mobile_app,2025-12-23 03:43:39,SESS_52787
INT_003101,U0154,3,view,desktop_browser,2025-12-23 03:47:15,SESS_83832
INT_000193,U0078,5,view,mobile_app,2025-12-23 03:51:16,SESS_79074
INT_001197,U0251,15,view,mobile_app,2025-12-23 03:52:37,SESS_61406
INT_000797,U0435,10,view,desktop_browser,2025-12-23 04:00:51,SESS_70667
INT_006693,U0207,13,click,mobile_app,2025-12-23 04:15:52,SESS_65828
INT_006492,U0258,3,view,mobile_app,2025-12-23 04:16:13,SESS_29186
INT_007936,U0304,10,view,desktop_browser,2025-12-23 04:18:08,SESS_83017
INT_003188,U0045,4,click,mobile_app,2025-12-23 04:20:14,SESS_97220
INT_005650,U0170,9,add_to_cart,desktop_browser,2025-12-23 04:23:40,SESS_80572
INT_004698,U0405,6,view,desktop_browser,2025-12-23 04:30:06,SESS_88930
INT_000886,U0113,18,view,desktop_browser,2025-12-23 04:32:08,SESS_96531
INT_007097,U0283,12,view,desktop_browser,2025-12-23 04:35:28,SESS_69856
INT_004237,U0009,18,view,desktop_browser,2025-12-23 04:37:09,SESS_18954
INT_002976,U0081,9,view,mobile_app,2025-12-23 04:37:58,SESS_69580
INT_008973,U0172,8,click,desktop_browser,2025-12-23 04:39:23,SESS_75013
INT_006578,U0434,18,click,desktop_browser,2025-12-23 04:53:49,SESS_90148
INT_008628,U0336,20,view,mobile_app,2025-12-23 04:54:52,SESS_61364
INT_000576,U0110,18,click,mobile_app,2025-12-23 04:55:08,SESS_27434
INT_005957,U0107,1,view,mobile_app,2025-12-23 05:00:04,SESS_18374
INT_005141,U0307,12,add_to_cart,mobile_app,2025-12-23 05:03:18,SESS_74172
INT_005492,U0162,6,click,mobile_app,2025-12-23 05:05:10,SESS_70325
INT_004446,U0422,6,click,desktop_browser,2025-12-23 05:09:39,SESS_13101
INT_007315,U0171,14,view,desktop_browser,2025-12-23 05:13:48,SESS_88038
INT_007402,U0315,9,add_to_cart,mobile_app,2025-12-23 05:14:29,SESS_28818
INT_006892,U0352,7,view,desktop_browser,2025-12-23 05:22:51,SESS_67031
INT_001630,U0081,16,view,desktop_browser,2025-12-23 05:23:43,SESS_92691
INT_004366,U0358,20,view,mobile_app,2025-12-23 05:36:37,SESS_86786
INT_006687,U0333,15,click,mobile_app,2025-12-23 05:39:47,SESS_20414
INT_002935,U0071,1,purchase,desktop_browser,2025-12-23 05:44:42,SESS_18455
INT_007107,U0236,11,add_to_cart,desktop_browser,2025-12-23 05:49:38,SESS_75675
INT_009085,U0385,17,click,mobile_app,2025-12-23 05:59:24,SESS_21130
INT_008282,U0157,17,view,mobile_app,2025-12-23 06:14:26,SESS_39837
INT_004169,U0432,2,click,mobile_app,2025-12-23 06:17:52,SESS_30454
INT_003017,U0128,7,view,mobile_app,2025-12-23 06:18:06,SESS_38110
INT_004058,U0164,15,click,mobile_app,2025-12-23 06:27:47,SESS_36968
INT_006077,U0240,7,view,desktop_browser,2025-12-23 06:33:52,SESS_22958
INT_005147,U0185,8,view,desktop_browser,2025-12-23 06:37:17,SESS_41198
INT_005009,U0030,6,click,mobile_app,2025-12-23 06:42:47,SESS_92613
INT_002913,U0426,5,view,desktop_browser,2025-12-23 06:46:28,SESS_24189
INT_000356,U0360,1,purchase,desktop_browser,2025-12-23 06:46:47,SESS_56851
INT_004497,U0347,12,view,mobile_app,2025-12-23 06:48:07,SESS_87123
INT_006762,U0266,10,view,desktop_browser,2025-12-23 06:50:04,SESS_21953
INT_006633,U0220,15,view,desktop_browser,2025-12-23 06:55:13,SESS_52101
INT_001660,U0112,15,view,mobile_app,2025-12-23 07:10:11,SESS_49560
INT_005555,U0224,4,click,mobile_app,2025-12-23 07:12:01,SESS_63646
INT_009369,U0059,2,view,desktop_browser,2025-12-23 07:14:05,SESS_49788
INT_007442,U0452,13,add_to_cart,mobile_app,2025-12-23 07:15:17,SESS_33210
INT_001398,U0120,9,view,mobile_app,2025-12-23 07:19:02,SESS_18247
INT_008307,U0146,1,view,mobile_app,2025-12-23 07:25:50,SESS_85540
INT_001983,U0305,19,purchase,desktop_browser,2025-12-23 07:28:37,SESS_55835
INT_008589,U0439,3,view,mobile_app,2025-12-23 07:31:00,SESS_47661
INT_000529,U0339,2,view,desktop_browser,2025-12-23 07:39:26,SESS_24055
INT_000655,U0100,7,view,mobile_app,2025-12-23 07:43:57,SESS_95538
INT_008222,U0114,16,click,mobile_app,2025-12-23 07:51:06,SESS_29770
INT_009849,U0066,19,view,desktop_browser,2025-12-23 08:03:54,SESS_45880
INT_006268,U0163,14,view,desktop_browser,2025-12-23 08:06:27,SESS_80656
INT_009516,U0185,3,view,mobile_app,2025-12-23 08:08:38,SESS_25777
INT_001428,U0033,6,view,mobile_app,2025-12-23 08:13:54,SESS_21578
INT_008821,U0194,12,view,mobile_app,2025-12-23 08:14:03,SESS_19399
INT_002773,U0370,17,view,desktop_browser,2025-12-23 08:15:55,SESS_75500
INT_002668,U0281,3,view,desktop_browser,2025-12-23 08:18:47,SESS_80746
INT_000638,U0495,13,view,mobile_app,2025-12-23 08:39:56,SESS_69500
INT_007423,U0014,9,click,mobile_app,2025-12-23 08:52:45,SESS_44083
INT_008155,U0375,13,view,mobile_app,2025-12-23 08:59:15,SESS_86343
INT_009844,U0419,6,view,desktop_browser,2025-12-23 08:59:26,SESS_20990
INT_007393,U0026,14,view,mobile_app,2025-12-23 09:03:27,SESS_60927
INT_000183,U0094,14,click,desktop_browser,2025-12-23 09:05:17,SESS_48005
INT_005414,U0283,4,purchase,mobile_app,2025-12-23 09:10:08,SESS_20208
INT_000651,U0272,8,view,desktop_browser,2025-12-23 09:11:15,SESS_61799
INT_004049,U0097,16,view,desktop_browser,2025-12-23 09:14:16,SESS_94453
INT_006409,U0263,15,click,desktop_browser,2025-12-23 09:15:45,SESS_67984
INT_002000,U0500,13,view,desktop_browser,2025-12-23 09:17:39,SESS_37548
INT_008789,U0307,1,view,desktop_browser,2025-12-23 09:18:55,SESS_29621
INT_006209,U0095,8,view,mobile_app,2025-12-23 09:24:40,SESS_86907
INT_005563,U0413,10,view,mobile_app,2025-12-23 09:25:44,SESS_81196
INT_008778,U0149,5,view,mobile_app,2025-12-23 09:33:25,SESS_77030
INT_003063,U0387,4,add_to_cart,mobile_app,2025-12-23 09:34:58,SESS_29551
INT_003290,U0327,17,add_to_cart,mobile_app,2025-12-23 09:38:50,SESS_50041
INT_008406,U0239,14,view,desktop_browser,2025-12-23 09:43:03,SESS_52816
INT_002140,U0068,13,view,desktop_browser,2025-12-23 09:43:11,SESS_98615
INT_008010,U0159,15,click,desktop_browser,2025-12-23 09:44:11,SESS_77901
INT_000947,U0183,12,view,mobile_app,2025-12-23 09:45:40,SESS_97305
INT_005724,U0319,18,click,desktop_browser,2025-12-23 09:49:43,SESS_28450
INT_008960,U0063,15,click,mobile_app,2025-12-23 09:51:34,SESS_72274
INT_001438,U0063,20,add_to_cart,mobile_app,2025-12-23 09:53:31,SESS_44172
INT_009871,U0343,9,view,mobile_app,2025-12-23 09:58:53,SESS_98198
INT_006143,U0392,2,view,desktop_browser,2025-12-23 10:04:23,SESS_22459
INT_002590,U0241,2,view,mobile_app,2025-12-23 10:05:54,SESS_39959
INT_007309,U0128,9,view,mobile_app,2025-12-23 10:11:48,SESS_74475
INT_002868,U0454,14,view,mobile_app,2025-12-23 10:14:54,SESS_85103
INT_006652,U0342,1,view,mobile_app,2025-12-23 10:20:08,SESS_17661
INT_000394,U0331,10,view,mobile_app,2025-12-23 10:21:48,SESS_58889
INT_007282,U0295,14,view,mobile_app,2025-12-23 10:28:23,SESS_33025
INT_009030,U0053,2,view,desktop_browser,2025-12-23 10:29:06,SESS_52763
INT_008941,U0289,19,click,desktop_browser,2025-12-23 10:31:34,SESS_89343
INT_005477,U0369,1,view,mobile_app,2025-12-23 10:32:13,SESS_75433
INT_002157,U0269,20,add_to_cart,mobile_app,2025-12-23 10:40:54,SESS_25659
INT_009900,U0276,1,add_to_cart,desktop_browser,2025-12-23 10:45:14,SESS_77039
INT_007794,U0153,15,view,mobile_app,2025-12-23 10:54:17,SESS_12584
INT_001695,U0236,4,click,mobile_app,2025-12-23 10:54:54,SESS_45194
INT_008136,U0499,15,view,mobile_app,2025-12-23 11:07:59,SESS_96265
INT_003887,U0456,20,view,mobile_app,2025-12-23 11:18:10,SESS_31787
